,cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename
102,57041028-83,83,ROSA PALO,PINK,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57041028_83.jpg
103,57040305-01,01,BLANCO,WHITE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57040305_01.jpg
104,57050382-46,46,TURQUESA,BLUE,P-PLANA,Tops,Tops,Tops,Top,datathon/images/2023_57050382_46.jpg
105,57015144-TN,TN,TEJANO NEGRO,GREY,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57015144_TN.jpg
106,57010481-20,20,NARANJA,ORANGE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57010481_20.jpg
107,57065788-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57065788_99.jpg
108,57050453-15,15,MOSTAZA,YELLOW,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57050453_15.jpg
109,57094414-94,94,GRIS MEDIO VIGORE,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57094414_94.jpg
110,57005974-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57005974_TO.jpg
111,57055983-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57055983_99.jpg
112,57091502-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57091502_OR.jpg
113,57094431-DI,DI,DIRTY,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2023_57094431_DI.jpg
114,57007771-03,03,HIELO,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007771_03.jpg
115,57075812-85,85,ROSA,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57075812_85.jpg
116,57047760-56,56,NAVY,BLUE,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57047760_56.jpg
117,57028280-52,52,AZUL,BLUE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57028280_52.jpg
118,43040692-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_43040692_OR.jpg
119,53070611-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_53070611_02.jpg
120,53030677-32,32,CHOCOLATE,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Glasses,datathon/images/2019_53030677_32.jpg
121,51060677-08,08,BEIGE,WHITE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_51060677_08.jpg
122,53060722-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_53060722_CU.jpg
123,53079062-05,05,CRUDO,WHITE,P-PLANA,Outerwear,Coats and Parkas,Puffer coats,Puffer coat,datathon/images/2019_53079062_05.jpg
124,53080880-37,37,KHAKI,BROWN,T-TRICOT,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53080880_37.jpg
125,43077046-05,05,CRUDO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Kerchief,datathon/images/2019_43077046_05.jpg
126,51003746-85,85,ROSA,PINK,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_51003746_85.jpg
127,53093047-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_53093047_99.jpg
128,53091077-30,30,MARRON,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_53091077_30.jpg
129,53041096-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Necklace,datathon/images/2019_53041096_OR.jpg
130,53065024-30,30,MARRON,BROWN,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53065024_30.jpg
131,51015740-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_51015740_99.jpg
132,57007697-09,09,CAMEL,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007697_09.jpg
133,57007109-92,92,GRIS,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007109_92.jpg
134,57015926-45,45,AGUA,GREEN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57015926_45.jpg
135,57019209-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57019209_99.jpg
136,51083792-15,15,MOSTAZA,YELLOW,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51083792_15.jpg
137,57007902-07,07,ARENA,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57007902_07.jpg
138,57027698-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57027698_99.jpg
139,53035770-56,56,NAVY,BLUE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53035770_56.jpg
140,57027893-99,99,NEGRO,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57027893_99.jpg
141,57029604-56,56,NAVY,BLUE,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2019_57029604_56.jpg
142,67010585-09,09,CAMEL,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2020_67010585_09.jpg
143,47074023-01,01,BLANCO,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_47074023_01.jpg
144,47009026-PL,PL,PLATA,GREY,K-CIRCULAR,"Accesories, Swim and Intimate",Swim and intimate,Swimwear,Bikini pantie,datathon/images/2023_47009026_PL.jpg
145,57050259-56,56,NAVY,BLUE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57050259_56.jpg
146,57013778-88,88,FUCSIA,PINK,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57013778_88.jpg
147,57044397-50,50,CELESTE,BLUE,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2023_57044397_50.jpg
148,57000428-01,01,BLANCO,WHITE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57000428_01.jpg
149,57000451-07,07,ARENA,WHITE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57000451_07.jpg
150,57006720-56,56,NAVY,BLUE,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57006720_56.jpg
151,57074012-07,07,ARENA,WHITE,K-CIRCULAR,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57074012_07.jpg
152,57001096-02,02,OFFWHITE,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2023_57001096_02.jpg
153,57023811-52,52,AZUL,BLUE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57023811_52.jpg
154,57045972-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2023_57045972_99.jpg
155,57078265-99,99,NEGRO,GREY,P-PLANA,Outerwear,Coats and Parkas,Outer Vest,Outer vest,datathon/images/2023_57078265_99.jpg
156,57025980-99,99,NEGRO,GREY,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2023_57025980_99.jpg
157,57015982-78,78,BURDEOS,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57015982_78.jpg
158,57057717-OR,OR,ORO,WHITE,K-CIRCULAR,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57057717_OR.jpg
159,57006011-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2023_57006011_OR.jpg
160,57027741-20,20,NARANJA,ORANGE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Scarf,datathon/images/2023_57027741_20.jpg
161,67040288-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2024_67040288_99.jpg
163,43045777-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Swim and intimate,Swimwear,Bikini top,datathon/images/2019_43045777_99.jpg
164,43027025-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_43027025_99.jpg
165,53070584-02,02,OFFWHITE,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53070584_02.jpg
166,53020606-30,30,MARRON,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53020606_30.jpg
167,53070520-52,52,AZUL,BLUE,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53070520_52.jpg
168,53020866-13,13,AMARILLO FLUOR,YELLOW,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53020866_13.jpg
169,53063714-06,06,PIEDRA,WHITE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53063714_06.jpg
170,53080913-02,02,OFFWHITE,WHITE,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53080913_02.jpg
171,53070860-05,05,CRUDO,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53070860_05.jpg
172,53045028-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53045028_99.jpg
173,51093789-30,30,MARRON,BROWN,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2019_51093789_30.jpg
174,53075778-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53075778_99.jpg
175,57035904-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_57035904_02.jpg
176,57955903-43,43,VERDE,GREEN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Ankle Boots,datathon/images/2019_57955903_43.jpg
177,53005032-TN,TN,TEJANO NEGRO,GREY,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53005032_TN.jpg
178,57075941-96,96,GRIS OSCURO VIGORE,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57075941_96.jpg
179,57007900-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57007900_99.jpg
